param z := 10;
param s := 4;
param v := 2;
param c := 3;

param Demand := 
1  0.000803429155663251
2  0.000951406002100867
3  0.000380610376636527
4  0.000618466478371856
5  0.000512392725428298
6  0.000695649396798754
7  0.000843419435135384
8  0.000424306894893672
9  0.000110637129007104
10  0.000597429377117032
;

param Time := 
1  1  0.0010
1  2  1.6420
1  3  1.8700
1  4  1.2150
1  5  1.2240
1  6  1.3240
1  7  2.3470
1  8  3.2520
1  9  3.0020
1  10  4.0630
2  1  1.6420
2  2  0.0010
2  3  2.2760
2  4  1.0980
2  5  1.8660
2  6  1.9660
2  7  2.9890
2  8  3.8940
2  9  3.6440
2  10  3.9460
3  1  1.8700
3  2  2.2760
3  3  0.0010
3  4  2.0840
3  5  1.8960
3  6  1.9960
3  7  3.0190
3  8  3.9240
3  9  3.6740
3  10  4.9320
4  1  1.2150
4  2  1.0980
4  3  2.0840
4  4  0.0010
4  5  1.4390
4  6  1.5390
4  7  2.5620
4  8  3.4670
4  9  3.2170
4  10  3.4460
5  1  1.2240
5  2  1.8660
5  3  1.8960
5  4  1.4390
5  5  0.0010
5  6  0.6980
5  7  1.7210
5  8  2.6260
5  9  2.3760
5  10  4.1840
6  1  1.3240
6  2  1.9660
6  3  1.9960
6  4  1.5390
6  5  0.6980
6  6  0.0010
6  7  0.8990
6  8  1.8040
6  9  1.5540
6  10  3.3620
7  1  2.3470
7  2  2.9890
7  3  3.0190
7  4  2.5620
7  5  1.7210
7  6  0.8990
7  7  0.0010
7  8  1.7030
7  9  1.4530
7  10  3.2610
8  1  3.2520
8  2  3.8940
8  3  3.9240
8  4  3.4670
8  5  2.6260
8  6  1.8040
8  7  1.7030
8  8  0.0010
8  9  0.5480
8  10  2.3560
9  1  3.0020
9  2  3.6440
9  3  3.6740
9  4  3.2170
9  5  2.3760
9  6  1.5540
9  7  1.4530
9  8  0.5480
9  9  0.0010
9  10  2.1060
10  1  4.0550
10  2  3.9380
10  3  4.9240
10  4  3.4380
10  5  4.1840
10  6  3.3620
10  7  3.2610
10  8  2.3560
10  9  2.1060
10  10  0.0010
;
